"title","story","category","location"
"Violent Ghost Attack in Dream","This whole experience seemed 100% real as it was happening in my mind, I assume it must have been a dream but it was, by far and away, the most realistic dream/nightmare I have encountered.

I, what I thought was, awoke from a deep sleep, with trouble breathing, as though something had its hands wrapped around my neck, I opened my eyes to see this person, who was under my covers, sitting knees first down on top of my chest choking my throat, with their knees holding my arms down.  I couldn't see a face straight away.  I tried screaming for help from my wife who was working on the computer in the adjoining room, but was unable to mutter much more than a faint murmur, due to the being's hands wrapped around my throat.

After several minutes of trying to fight this being off my body, I finally got a hand free to knock on the wall to attract my wife to come for help, where I was able to somewhat fight this being off my body until my wife came in and I was then able to see this beings face for the first time, looked like a blond female's face who had been drowned.  My wife finally helped me get this being off me and as I got up to hug her and turned around the being was gone.

I got my wife to come to bed with me and we held each other close, and finally slowly dozing off again, I realized that this being was back and that it was not my wife.  I felt a surge of pressure being applied to my body by this being, as it once again tried to sit down on top of my chest, while I was fighting this being, I assume I passed out.

What seemed to be about 5 minutes later, I physically woke up, for real, this time, threw my covers off, turned on the light and headed straight for my wife in the next room.  I told her about my experience and she could see I was quite shaken up about it, I asked her about things like did she hear me scream?  Did she come in to help me?  To which she didn't.

All I could put this down to was a dream, but after reading similar stories on the net, wonder if it could be more of a sleep paralysis syndrome?  I take antihistamines before sleep, but have done so for well over 10 years now, with no previous occurrence of this at all.  I have had what I believe contact with the paranormal before, although previous times have been when I was well and truly awake.  I have had about a month ago what I believe to be a real ghost ""good"" dream with my deceased grandfather.

Can ghosts visit in dreams?  I didn't think it was possible?  This experience has freaked me completely, and hope there have been others that have experienced something similar in the past?","Old Hags / Night Attacks / Sleep Paralysis","Australia"
"Ghost in the Woods?","This all happened during this past summer (august), here in Cardiff, UK. At about 7pm, my friend and I decided to go into the woods at heath park, as we were very bored that day, and I believe it was one of the hottest days on record for the UK, so we were very hot and bothered.

We trekked into the woods until we came to a huge tree, we sat by the tree for nearly an hour cooling down,  it was also next to a large pond. At about 9pm we realised that it was very nearly dark, so we decided to make our way back home. We had about a 15 minutes walk to get back out of the woods and nothing strange had happened until I noticed a figure, about 200 yards away from us, back from where we had just come from. I thought this was strange, but thought nothing more of it. About 4 or 5 minutes later, I looked back and saw the figure again but this time it was closer, I thought this was strange as there were no people close to us when we were at the tree so I decided to tell my friend. Josh thought I was messing around with him and did not believe me at all, this was much to my frustration.

About 3-4 minutes later, again I looked to the side and the figure was about 50 yards away only it was in amongst all nettles and bushes, I was really scared at this point as we weren't even half way through the journey and it was very nearly dark. I told Josh to keep looking around and to speed up our walking pace. A few minutes later Josh saw the figure on the other side of us and we were both really really scared, so we ran. When we got into the open field which would lead us to a road, we ran about half way into it and looked back and we both saw the figure standing on the edge of the woods. We ran all the way home.

The figure that we saw was very weird because every time I saw it, it was perfectly still. We could not make out the face, or gender of this thing, it was just in what looked like a blue cloak. I have been back to the spot a few times since  the day and nothing strange has happened, but me or Josh will not go back there at dusk again.

Please message me with any questions, thanks.","Apparitions / Voices / Touches","United Kingdom"
"Little Boy Blue","Have you ever had an encounter with a spirit, an entity or something paranormal, but you were not aware of it until someone told you so? This is such an experience that I had in the office when I was working late. So before I start the story let me get into the details first. My name is Matt, I work in a call center here in Manila Philippines. So since we have to adjust our schedule to the country we are catering, most of us in the call center world usually work the graveyard shift. So on with my story...

I had this experience with a little boy in the elevator. He was about 3 feet tall and was always wearing blue. We would always share the elevator during my break at 3:00 am and he would always go down on the 4th floor, my office was located on the 6th floor by the way, and I would always bid him goodbye and he would just walk away without saying a word. There were times when I tried talking to him but he would just put his head down and wouldn't talk. So I was scared that I might offend him with my talking, so every time I see him I just kept quiet.

So after a few encounters with the kid, I started thinking of certain things. 1. who's parents does this kid belong to and 2. what is he doing in the building during those hours. So after a few days of not seeing the kid anymore, and with some luck, I finally had the chance to catch the guards down stairs in the lobby to ask them about the kid. (because usually during the grave yard shift, they would do their routine rounds on the building).

What happened next made the hair on the back of my neck rise! I told the guards that I have been seeing a young boy on the elevator and asked who he was and what he might be doing in the building during those late hours. One of the guards smiled and said, ""little boy blue, 4th Floor right?"". And I told him that he was right, and asked what was on the 4th floor. ""Nothing!"" he exclaimed. It turned out that the 4th floor had been vacant for 3 years now. They also told me that sometimes when they are making their rounds, that they would spot the boy on the 4th floor running through corners of the hallway and when they turn to look where the boy went, they would find that no one is there. I can feel my face turning pale and my heart pounding with fear.

After that I never had an encounter with the kid anymore, but sometimes the elevator still stops on the 4th floor and you could hear a giggle of a little boy in the cold and wide hallways of the Harrison building.","Haunted Places","Philippines"
"White Entity","This is one story that still haunts me until this day. I am the type of person who does not believe in ghosts but have learned to respect their reasons for being on our plane. I belong to a group of friends who were really into the paranormal things that are happening around us. Being in this type of crowd I could not help myself in believing a swell (with the way they tell their stories), and being dragged into opening my sixth sense. Call it peer pressure but I guess thats just the way it is.

For a few days, nothing out of the extra ordinary was happening. So I told myself, ""hey maybe it didn't work"". Given the fact that I did not believe in those type of beings, I thought perhaps the ceremony had no effect on me. Then it happened, one night I woke up in the middle of the night and wanted a glass of water. I was so thirsty that it could not wait until morning. So I went down for a cold drink. After filling my glass with water from the container, I closed the fridge's door. Standing beside me was a white figure with bloody red eyes. I was so scared that I dropped the glass on my hand and closed my eyes and prayed. When I open my eyes there was no one there, so I figured it was just my imagination.

So to help me sleep, I had this great idea of watching T.V. to help me doze off. So I got the remote and pointed to the direction of the television. Now before I could even turn the T.V. on I saw on the black screen that the white figure was standing behind me with a big grin on her face this time together with her bloody eyes. This was the last draw, I ran up to my mom's room and slept beside her until morning came.

The next day I asked the group to take their so called gift from me because I could not take it anymore and that I never wanted to see the white figure again.","Non Human Entities","Philippines"
"Jeepney Ride","It's funny when certain events in our lives occur and we blame it all to bad luck. What's funnier is the things that we do to counter the flow of bad energy that causes these so called bad luck or bad events. At least at that time I thought it was funny, until my friend shared her unlikely experience.

This story is about my friend and her scary jeepney ride going home. For those of you who don't know what jeepneys are, they are a popular means of public transportation in the Philippines. They were originally made from US military jeeps left over from World War II and are well known for their flamboyant decoration and crowded seating.

My friend went home late after finishing their school project, now since she lives within the vicinity of the U.P. Diliman campus (University of the Philippines) it was perfectly safe for her to take the jeepney instead of taking a taxi in going home during late hours. It was about midnight when she took the ride home, and she could not help but notice the driver kept glancing at her through his rear view mirror and then he would turn to her. (Now all jeepneys have their own route and do not take any turns and they have to stick to their route or else there is a big chance that they would run into some cop trouble). What's odd about this jeepney ride besides the eerie glances that the driver gave from time to time, he was also taking turns in corners that he was not suppose to. Afraid of what the drivers plans are, she was even more afraid of her surroundings because it seemed as if she was in the middle of nowhere already. So instead of going down, she just stayed on the jeep. On the last turn that the driver made, she noticed that they were back on the route that they were suppose to be in the first place.

Before reaching the end of the terminal, the driver turned to my friend and said, ""Im sorry if I scared you or startled you! It was not my intention"".. ""Could you do me a favor and BURN all your clothes when you get home"".. Wondering why my friend asked why he was acting very strange. The driver explained, ""The reason why I kept glancing was because your head was not attached to your body when I looked through my rear view mirror."" ""That is why I changed my route awhile ago, hoping we could get away from the bad energy present in that area, and thats why I want you to BURN your clothes when you get home because I think its still with you.""

Upon arriving home, still shaking from fear, my friend took all her clothes off and burned them as quickly as she could. A few days later she found out on the news that the jeepney driver died a day after the incident. It turned out the warning was not for her but for the driver.","Misc","Philippines"
"Encounters of Marie","I have just moved into my new house and I've overheard my mom talking about a ghost in our house named Marie. I didn't believe her, but one night, I was having trouble sleeping, so I went to the bathroom. It was a warm, spring night, so there was no cold feeling in the air. I walk back into my room, and it was very cold in a part of my room, near the closet. I just ignored it. A while later, I saw her, standing next to the closet. I got scared and ran into my mom's room. During another day, me and my friends were having an iced tea sale in front of my house. My sister ran into the house for some more mix and I was trying to scare her by spraying the window with the hose. I have realized that she walked back outside. So I dropped the hose and looked back at the window. All of the sudden, I see an old lady shaking her finger at me. Marie died in my house in her sleep at an old age. The same night, I hear a whisper in my ear: ""Get out."" We also found out that she died in my room!","Haunted Places","United States"
"The Crippled","Ever wondered how things came to the way they are? Why some places give us this eerie feeling when we pass through it. Why we meet people who give us this uncomfortable feeling even if they are not doing anything. Ever picked up money on the street or on a side walk? Lucky huh! But did you ever wonder who it belonged to and why it was lying there in the first place? History was never my thing, for me everything and anything bad from the past should be left there and should be forgotten through time. But what if you had a thing or an object that links you to an event that has happened in the past. Would you let it go, or would you be thankful that you have it.

This story took place on my grandmother's house, where I had my summer vacation. I love spending time there because there is a lot that a person can do inside and outside of her house. She has a big pool, a big flat screen T.V., tennis and basket ball court,  and all the amenities you could think of that is, or should be found in your modern home. That is why the 1980's looking cabinet she had on the living room seemed a bit off or out of place. So I asked my grandmother where she got the cabinet and if it was new. She made a joke about it and told me, ""it's from the 80's dear, I doubt that is new"". With a smile on her face, she told me that she just passed by an antique shop two weeks ago when the cabinet caught her eyes. She thought it was pretty so she bought it.

I was having the time of my life and everything was great. I had 2 weeks vacation time and I was only on my third day. Everything was okay except for the loud thuds that kept me awake at night. I did not pay much attention to it though, because when I asked what that was, it turned out that some men were working on some renovations to the house next door. They were on a tight schedule so some of the men work even at night. And even though the sound seemed different, I just took their word for it. I didn't want to ruin my time with thinking there were ghosts in the house.

One evening I was watching a late night movie when I heard the loud thuds again. This time it seemed as if they were coming inside the house. I was worried thinking it might be someone trying to break in, so I followed the sound to have a look. The sound seemed to be coming from the living room. The weird thing was as I got closer to the sound I could hear some screeching and scratching sounds after the thuds. What I saw next was the most horrifying thing I have ever seen. No amount of scary movies or Hollywood effects could have prepared me for what I saw that night. It was an old lady soaked with blood. I thought the loud thuds were footsteps, but it turned out those were her hands banging on the floor. The scratching sounds were from her long nails as she scratched dragged herself across the room. She was crippled and couldn't walk, it also seemed as if some of her bones were out of place because some of her body parts were deformed. She was crying out for help, had no eyes and only had a blue eerie light that seemed to be coming from the back of her head, that lit her eye sockets.

I ran to the maids quarters given the fact that it was closer than where my grandmother's room was located. I woke everyone up and told them what I saw. When we came back the floor was spotless clean and nothing was there. Next day I convinced my grandmother of returning the old cabinet to the store. Upon returning the cabinet, my grandmother asked who was the previous owner. It turned out that an old woman used to own the cabinet. One day, she just disappeared. Some say she went back to the states without anyone knowing, some say she was brutally murdered, some say she was beaten to death and was stashed somewhere. ""But no one actually knows what became of her"", ""No evidence was located, and no body was found as well."" said the vendor. Neither my grandmother nor I said a word. We were speechless and couldn't figure out what to do. We just left the cabinet there and went home.

The weird thing about the story of the old lady, was that no one even bothered to investigate on her case to know the truth. Her family just tried to make some money out of her belongings and that was it. But the weirdest part of all is the people who hear this story sometimes claim that they see the old woman every now and then, asking for help, crying out, curled up inside their own cabinets.... FREAKY!","Misc","Philippines"
"Picture Frame","I always believed in ghost. And I wished to see one to experience the thrill that everybody is experiencing once they encounter things like that. I don't believe that I'm the type of person who have the ability to feel and see spirits, like a medium. I don't have a third eye to recognize them. Not until the following encounter:

My first encounter with spirits happened when me and my ex-boyfriend were hanging out together in our house. We were talking about it because he has the third eye. He can see ghost and feel spirits around. We are on the midst of the story when suddenly the picture frame on the wall fall down to the ground. That was funny because nobody pulled it off and it can't be pulled easily without human force. The fan is off and the air outside the house is not enough to do that. I looked in my boyfriend with questions in my eyes. He just bowed his head and told me to stay inside. He went out of the house and then I heard him talking to somebody else. But I didn't see anyone except him. He then went back and told me everything was all right. He already spoke to the person who did it. It was a spirit from their house who followed him. It's apparently a white lady who get jealous of me. He told me that everywhere he goes that spirits are following him and he almost forgot about it when he visited me. He asked me the time my mom and my little brother were coming home. I told him I didn't know, maybe a minute from now. He didn't leave me from that moment until my mom arrived.

An hour later, my mom came home and we bid each other goodbye. After he arrived home I started to feel dizzy and felt coldness wrapping my whole body. My mom advised me to go to bed and she covered me with blanket. One blanket was not enough so she added one more. Still, I felt so cold even though I was wrapped up with two blankets. I then texted my boyfriend and, worried about my condition, he then called up and told me to wear anything that has a cross or God's image on it. Amazed, I grabbed the rosary from the altar and wore it. After 30 minutes I started to feel the heat coming from the wrapped blanket and sweat started to drip off my face. I called up my boyfriend and told him I was starting to feel good already. He then told the shocking truth that I've been touched by the lady when they got off from the house.

After that encounter, I did not wish for my boyfriend to open my third eye. I'm afraid to see more of those and feel that odd feeling again. I'm now contented to watch scary movies and hear ghost stories everywhere. I realized that having the power to see them is not always good after all.","Misc","Philippines"
"White Lady","One day when I was 10, my friend and I decided to go out for a walk in a near by forest. In the forest, there is a old abandoned rodeo, we were playing there when we saw a young lady, probably in her early 30's, staring at us. She was in a long white dress but the thing that scared us was that she was transparent. We decided after that that we were going to hide in the forest since we weren't due back home for another hour. While we were hiding, we saw her again and she called out to us in a hoars voice. She told us to run, run fast. So we did as we were told. And then, as we reached the edge of the forest and we looked back and she was looking around scared, then she looked at us and screamed and twisted her face. Then she started to glitch and she vanished. I never went back there ever again.","Apparitions / Voices / Touches","Canada"
"Unknown Girl","My name is Krystal and the story I am about to tell you is authentic. Last summer I was lying down on my bed trying to sleep. In the past, I have had trouble sleeping and was moving around a lot. I share a room with my little sister and I sleep on the top bunk. While I was trying to sleep, I happened to turn and face the wall. It felt like someone was looking at me. I heard something at the foot of my bed so I looked over the edge, at the floor, and saw nothing, so I lied back down. I still felt someone looking at me and thought that it was my little sister, so I looked to my other side and saw a little girl about 4 feet tall, with short brown/blond hair. Still thinking it was my sister, I told her to go to bed and turned around. Just then the ""thing"" touched my shoulder and I swung to move the hand. As I swung, the hand released and I yelled at my sister to leave me alone. Then I looked back and the little girl was looking at me again. But this time she was frowning. I was tired so I thought that my sister was joking around. I yelled for my sister to go to bed, then layed back down. Then I heard a bang on the bed. When I turned around the girl was gone. I yelled for my sister to get up, but she opened the bedroom door from the kitchen and asked what I want... It turns out that my sister was in the living room with my mom the whole time. To creep me out even more, I realized the next day that the girl in my room had brown hair, while my sister has bleached blond hair.

I would really like you comments on this and tell me what you think. This was so scary I would never wish anyone to see that little ""thing"" again.

[2006-12-18: The following is an update to the story]

Last thursday I was taking a nap (which I never do) as my friend was taking a shower. Then out of the corner of my eye I thought I saw a little girl. She was sitting on my shelf. I turned on my light to see and no one was there, so I decided to ignore it.

Two days ago, I was cleaning my room with my clock radio on, then static came on and people were talking. It wasn't the radio because I had my other radio on too and they were singing a song... so I turned my other radio off, listened and it was a little girl and a older woman. I was scared. Then my lava lamp top flew off my cupboard and fell to the ground. I screamed, then I got this horrible feeling and I had to leave my room. When I came back, the lava lamp lid was put back and the room was steamy hot. I was scared.

Another time when I was baby sitting my sister,  I was vacuuming and all of a sudden someone screamed downstairs. But my sister was in the living room. Very scary.

Comment my story... I am very scared of this 'girl' and I don't know how to get rid of her... I think she is bad... I don't know for sure, though.","Haunted Places","Canada"
"Le 419","Back in the 1980's my lover and I moved from parkdale in Toronto to 419 sherboune. It was an apartment on the 3rd floor, the door to our apartment was on the 2nd floor. We moved in with 3 cats and a dog. It was a large one bedroom with the bedroom at the top of the stairs across from the kitchen, it had a long hall way with the bathroom 3/4 of the way down the hall and the living room at the end. The building was old and the living room had a kitchen sink in a small room type area behind a wooden book shelf. I was told that they use to rent each room out, a rooming house kind of thing.

The first time I thought that something strange was when we came back from London and found a wooden cross that was on the wall on the floor and one of our cats in the bathroom on the windows seemed frightened, our two siamese were under our bed. It was strange as they always came out to greet us, especially after we were away over night.

The door to our apt was on the second floor, there was about a 6 inches between the door when it was closed and the first step. The steps had a carpet but the cats discovered the carpet under the first step could be pushed back and they could get into the walls. I put a small window screen between the step and the door to keep the cats out of the walls. My lover worked in a beauty supply shop and closed the store at 6:00pm every night. On several occasion I would hear what sounded like our apartment door being opened and someone coming up the stairs, but only to the third step, the dog would hear it too, and would go to look with me but no one was there.

One evening I heard the door open and someone come up 3 steps then stop, when I went to look there was no one there but the screen from the bottom step was laying on the 3rd step. I mentioned this to my lover who just laughed it off and said it was my imagination. One evening a friend of his came to visit at around 4:30pm and we had a coffee and talked waiting for my lover to come home. My dog was in the living room laying facing the hall. Our friend and I heard the door open and someone come up 3 steps. I looked at the clock and it was just 6:00pm so I knew it wasn't my lover. I looked at my dog who was looking down the hall and had just started to wag her tail when she suddenly jump to her feet and started to bark and growl, every hair on her back was standing up. Our friend grabbed my big ashtray for a weapon as we thought someone had just broken into the apartment. We rushed to look down the hallway but my dog kept blocking me and would not let me enter the hall, all the time she had her eyes fixed and appeared to be looking at something about 6 feet from the floor, all the while growling and barking. My friend and I could not see anything.

We searched the apartment and found the cats on the bed with their tail all fluffed up and eyes as big as saucers. After searching the apartment with me, our friend left, asking me to have my lover phone him as soon as he came home. I took my dog and sat outside till my lover came home and asked him to call our friend right away. Our friend told him what happened and we wrote a notice to our landlord saying we were moving out.

As soon as we got the keys to our new apartment I took our cats over, usually when cats are taken to a strange place they hide, but this time our cats ran around and played. I went back once after moving our stuff out to check the mail, I took the dog with me but when I reach the steps to the building she refused to go up.","Haunted Places","Canada"
"My Grandfather","I just turned 19 when we heard that back home in India my grandfather had passed away. His death was unexpected, he was healthy even at 71 and did a lot of household chores by himself. My grandma had nothing to complain about. I was shattered, I loved him very much and he was my mentor and idol. Dad was already with grandpa, when he passed away and with the news, my mom, brother and I packed our bags and caught the first available flight out. When we reached home, it felt like another place in another life time. It was cold and drab, nothing like the house I had spent so many holidays in. We proceeded with the funeral, after which a lot of people came home.

I was with my aunt, mom and grieving grandma, when suddenly I had this overwhelming urge to turn around. When I did, there in the corner of the room stood my grandpa wearing his favorite clothes. I don't remember what I felt at that time. I know that I froze, but when he smiled, I began to relax. ""I'm alright sweetheart"" are the last words I heard from grandpa as he stood there and continued smiling. Tears welled up in the eyes, out of relief or being overwhelmed, I don't know but as I turned to wipe my tears and looked back again, grandpa was gone!

I can still hear his words when I think of that day, his words of life - after his death!","Family / Friends Visits","AE"
"Haunting at 8 First-Street","This list of encounters which befell my family (mother, father, older sister and myself) dates back to the years 1990 up until early in 1995. At this time it may be relevant to mention that in this town, all houses are leased for free to the town's inhabitants, before our relocation into this house, early in 1990, it had been standing empty since 1983.

It was less than a week later that my 3 year older sister started speaking of a woman she had seen in the living room the night before. The woman as she had described had blonde hair and no face. Her being young of age, the rest of the family had let the incident slip by without taking much ennessial notice. Relevant was her persistance to this story and her fear of a built in back yard BBQ that she wanted 'removed'. What made my mother and myself take notice that perhaps it had not been my sister's imagination after all, was an event that had occurred just over a month later: at this time my mother, my sister and myself had all been in different locations of the house when the front door had opened and we all heard my father step inside and say ""hello"" as he always did. What made this greeting slightly different than usual was that when we all went to greet him, he was nowhere in sight. What added to the mystery was a telephone call an hour later stating that my father's car had broken down at work and my mother needed to come collect him. This incident had been enough reason for my mother to give in and have the BBQ wrecked.. nothing out of the ordinary was found.

My personal second encounter happened one evening while my sister and I had been lying on her bed. Her having just drifted off to sleep my gaze had fallen onto the floor where I had caught glimpse of a what looked like a sheepdog run across the floor, sure it was somewhat smaller, but genuine nonetheless. The animal had scurried across the floor and had gone into hiding beneath the bed, that was the last I had ever seen of it. That was the night before the crows started to appear..

In the months that followed these events seemed to die down and very few (including my father) would believe my mother, my sister and my own claims that there was something wrong at 8 First-Street. At this time, however, my parents started growing concerned about my growing fascination with the undead and macabre, which made sense since I wasn't even yet 5 years old at the time.

The next event that occurred, I believe it was close to Christmas time, involved a beating of drums in the back yard. My sister and myself had been getting up to the normal childhood mischief when a steady beating of drums had starting ramming on the outside gas bottles. The drumming had been soft and slow at first, then louder.. faster.. until it had been loud enough for any witness to hear. This had been enough to drive both my sister and myself to tears and we had fled the house and sat crying in the street until our parents had returned (from shopping or wherever it was they had gone). This inccident had laid to rest any doubt that my mother may still have attained, although my father had remained unconvinced.

What events had occured in the years 1991 and 1992 had in the years past slipped from my memory, with only 3 personal experiences remaining: the 1st had been while the rest of my family had been in the back yard and I had been alone inside. Until this day I can still recall an unknown presence that had laid its hand down on my shoulder, an icy sensation that now over eleven years later I can still remember as clearly as if it was happening right now. It was also round this time that my parents had discovered the art work I had done with my top room cupboard: three walls. two doors all covered in drawings of the dead. It was also in this cupboard that my favorite childhood book had vanished in an instant. This meaning that I had been sitting in the dark, reading it with a flashlight and the next moment it was gone. A thorough search by both my parents proved useless and what happened to it remains a mystery up until today.

The third incident I recall happened in middle 1992 while my sister was away at camp, this detail I recall particularly well for it just made it all the more strange that on the relevant morning wherever I had gone in the house her voice had still been calling out to me.

Early 1993 and all others are awoken from the silence by the father greeting incident repeating itself. Also my fathers' skepticism takes a knock at this point as my mother told the story of the night before where our newly aquired Labrador Retrievers both looked to the roof and started barking at an unseen force, the loud sigh that had followed not even my dad could deny. It wasn't much later that my mother started speaking of hearing a voice singing in the hallways late at night, a voice that would die down every time she went to check on it.

My sister had at this time also started growing more and more disturbed at what was happening around us and at one point claimed that an icy presence had been chasing her around the house and had been lifting her up whenever she had tried to stop. Although this did sound far fetched to even me, the way she had looked right after she had made this claim, suggested differently. What made matters worst was another incident which had supposably occurred while my mother had been collecting me from a friend. On our home coming we had discovered my sister and a friend sobbing in the street, spewing claims that footsteps had been heard in the hallway, doors had been opening by themselves and light and radios had been switching on and off by themselves. At this time it was now a mutual agreement, there was something seriously wrong. My own sighting of a teenage boy in the hallway (which I later lay eyes on again, that time with a witness) just added wood to the fire.

A summons not much later, that my sister had called together involving her, myself and two of her male friends would be the last time that these forces would ever be felt and after that it was as if nothing had ever happened (even the crows stopped coming), except one last thing:

Two years had passed since the final sighting at 8 First-Street and I (age 9) found myself sitting in the classroom. At this point a young girl who lived only a couple of houses from me (and coincidently had the same name as my sister) with whom I nonetheless had never truly spoken with started telling the class about a ghost of some kind in her house, the stories were exactly the same as mine. It was that same week that the crows again returned, very few at first, later up to 20 at a time.","Haunted Places","South Africa"
"TV Gone Crazy","About a month ago, my husband, daughter and I decided to spend a week at my mother's as it's closer to our workplace. We had an ongoing project and were putting in late hours, so it was easier to crash at mom's place after a tiring day. On one such night, we came home at 11:00pm, sat talking for a bit and had our dinner. My daughter and husband slept quickly.

My favorite show was on and I decided that I'd sleep after watching it, when suddenly, the pop up menu for the color and contrast adjustments opened and the color adjustment button went from 1-100 and vice versa, repeatedly. My tv just went static. I just stared at the tv, not knowing what was going on . I figured, since the cables of the tv in the hall and my parent's room were connected, they must be making adjustments. Nevertheless, I got up and headed for their room just to be sure. They were asleep. In fact, sound asleep, and the tv was not on. I headed hurriedly back to the hall but the pop up had disappeared. Disturbed, I settled to watch the show again, when the pop up came on again. Ahh I thought, maybe I was sitting on the remote, lifted my behind, but no remote. I remembered that I had placed it over the tv, so that my daughter could not reach it. So what was happening on my tv screen? Ghosts? Very calmly and in a stern voice, I said , whoever you are, please leave as you are scaring me. In a second, the pop up disappeared and my show was back on. I can't explain this... can anyone?","Poltergeists / Physical Manifestations","AE"
"Korean Haunting","I came to South Korea to be with my husband whom is in the Army. I have been here for 5 months. I have been living in my apartment for over four months. About two and a half months ago I started getting the icy felling like I was being watched. This went on with no happenings until last night. My husband is training in the field. I am all alone in the house, just like any other night I got changed, went into bed and called my husband. I got to sleep around 12:30am.

I slept for about two hours when I started having a dream that I have had before. But instead of what normally happened in the dream, an unknown force was on my back with two handfulls of my hair, holding me down. I woke up to find that my head where, in my dream, this force had my hair. I blew it off thinking it was my imagination. I fell back asleep a short time later. The dream resumed where it had left off. This happened one more time before I decided to just stay awake. It was about 5:00 in the morning, I am not exactly sure. I heard a Korean man's voice talking, it was very deep, I could not make out any words that I know. It sounded as if he were hissing the words. By this time I was already terrified. I heard knocking, and my chairs being scooted around. This went on for about an hour. Then it started scratchng my walls. It started soft and short at first, I ignored it until it got harder and louder increasing a lot everytime.

Finally I could not take it any more it felt like my heart was going to burst, it was beating so hard. I got up and turned on all the lights in the house. It stopped. I got dressed and looked around to find all my chairs moved, little things moved, and then I saw the scratch marks on the wall. I was about 6:30 in the morning when I left. I am looking for another apartment. There is no way that I am going to stay there and let it keep getting worse and more violent.","Haunted Places","KR"
"A Ghost  in Heat","I remember once that my husband and I were arguing about the paranormal. Specifically ghosts that haunt the living. He was a wee bit scared sleeping in my ancestral home.

Let me give you a background of our home sweet home. I live in a 39 year old house inside a compound. There are 5 houses in a row each facing another group of 5 houses. It was said that the place, where our compound was housed, was haunted. This was the place where Katipunero soldiers passed to get to Balintawak. This was a forest where ambushes and battles took place. Thus  there were many people who lost their lives here. Even the maids in our house told us of their own experiences with the ghosts that haunt the house.

So my husband will was not so keen in sleeping in the house. His third eye was slightly if not reluctantly open. He used to experience and see ghosts wherever he went and in the places he lived.

We were already getting ready to go to sleep. We were lazing away in bed just watching the television. He said that since he began sleeping in the house a week ago he had never experienced any sighting. He said he was lucky - maybe. I was teasing him and said maybe the ghost in the house did not like him enough to warrant a look see. He turned off the television and snuggled deeper into the covers. The air conditioning was on. I also fixed my pillow and snuggled and positioned my self getting ready to go to bed. He then turned to me - a little pale. He said ""Honey there is something sitting at the end of the bed next to me."" I answered back that it was just his imagination getting the better of him. He said that he felt the bed sag on his side. I turned toward him and just embraced him reassuring him that it was just one of the ghost saying hello.

I was so used to having a ghost or ""dwende"" in my room. Each room in the house has its own entity residing in it. Each a unique paranormal entity. I have never really been bothered with them since they have never hurt anyone in the house hold. They are felt, heard and sometimes seen by the people living in the house.

My husband just asked me to keep my arms around him. Embracing and reassuring him that nothing would happen to him. So I guess we were already noding off to sleep since I remember that I was already somewhat dreaming. He suddenly shook me to wake me up. He said wide eyed ""Honey it's not near the end of the bed anymore. It's touching my penis."" With that we both sat up. I told him the best way is just to say a prayer. I took the holy water that I keep in the room for emergencies - like this. I sprayed the whole room more on the bed. I was hoping that the entity - who or whatever it was would be cooled by the spray of holy water.

We prayed then lay on the bed and pulled up the blanket. We slept and next thing I knew I woke up to see the rays of the sun passing through the curtains of my room. It was already morning.","Succubus / Incubus / Sexual Ghosts","Philippines"
